0	118,5535	65,34443	45,27435	67,67815
40	118,641	65,35901	45,36186	67,7365
80	118,7722	65,38089	45,49313	67,82401
120	118,9035	65,40277	45,62441	67,91153
160	118,9911	65,41736	45,71192	67,96987
200	119,1223	65,43924	45,84319	68,05739
240	119,3776	65,46477	46,11303	68,09386
280	119,6	65,48483	46,35005	68,10844
320	119,806	65,50214	46,57066	68,11209
360	120,012	65,51946	46,79128	68,11574
400	120,1068	65,52675	46,89338	68,11209
440	120,2491	65,53769	47,04653	68,10662
480	120,415	65,55045	47,2252	68,10023
520	120,5927	65,56413	47,41664	68,0934
560	120,7705	65,5778	47,60808	68,08656
600	120,8726	65,5778	47,72477	68,07927
640	121,0258	65,5778	47,8998	68,06833
680	121,2044	65,5778	48,104	68,05556
720	121,3448	65,5778	48,26444	68,04553
760	121,4661	65,5778	48,40301	68,03687
800	121,5873	65,5778	48,54157	68,02821
840	121,5873	65,5778	48,54157	68,02821
880	121,6748	65,60697	48,65826	68,01363
920	121,8061	65,65073	48,83329	67,99174
960	121,9374	65,69449	49,00832	67,96987
1000	121,9374	65,69449	49,00832	67,96987
1040	121,9374	65,69449	49,00832	67,96987
1080	122,0249	65,72366	49,12501	67,95528
1120	122,1562	65,76742	49,30004	67,93341
1160	122,2801	65,78929	49,4459	67,8933
1200	122,4005	65,80023	49,57717	67,84407
1240	122,5208	65,81117	49,70844	67,79485
1280	122,5208	65,81117	49,70844	67,79485
1320	122,5791	65,81117	49,76678	67,76568
1360	122,6375	65,81117	49,82513	67,7365
1400	122,5719	65,81847	49,75949	67,80214
1440	122,4442	65,82941	49,63187	67,91518
1480	122,3166	65,84035	49,50424	68,02821
1520	122,3166	65,84035	49,50424	68,02821
1560	122,2072	65,84764	49,39484	68,11573
1600	122,0431	65,85857	49,23076	68,24701
1640	121,8882	65,84946	49,07578	68,31264
1680	121,7332	65,84035	48,92081	68,37828
1720	121,6602	65,82576	48,84788	68,37828
1760	121,5873	65,81117	48,77495	68,37828
1800	121,5873	65,81117	48,77495	68,37828
1840	121,5873	65,81117	48,77495	68,37828
1880	121,4852	65,81117	48,67285	68,36369
1920	121,332	65,81117	48,5197	68,34181
1960	121,1789	65,81117	48,36655	68,31994
2000	121,0768	65,81117	48,26445	68,30536
2040	120,9236	65,81117	48,1113	68,28348
2080	120,7705	65,81117	47,95814	68,2616
2120	120,5663	65,782	47,73936	68,21783
2160	120,26	65,73824	47,41117	68,1522
2200	119,9537	65,69449	47,08299	68,08656
2240	119,9537	65,69449	47,08299	68,08656
2280	119,7495	65,66531	46,8642	68,0428
2320	119,5453	65,63615	46,64542	67,99905
2360	119,3411	65,60697	46,42663	67,95529
2400	119,1369	65,5778	46,20784	67,91153
2440	119,1369	65,5778	46,20784	67,91153
2480	119,1369	65,5778	46,20784	67,91153
2520	119,0348	65,54863	46,09116	67,88235
2560	118,8817	65,50488	45,91613	67,83861
